patologi sosial  jilid 1,,
kitab undang-undang hukum perdata (kuh per),,
kumpulan risalah dakwah hasan al banna ( jilid 2 ),,
filsafat ilmu.,,
kewirausahaan ( entrepreneurhip ); pendekatan manajemen dan praktik,,
tanaman obat indonesia (buku 3),,
schaums outlines: fisika universitas: edisi kesepuluh,,
proses belajar mengajar,,
fisika,,
moral politik santri,,
materi instruksional pendidikan agama islam di perguruan tinggi umum,,
ayahku ( bukan ) pembohong,,
dasar-dasar biokimia jilid 1,,
pengantar ilmu ekonomi (mikroekonomi & makroekonomi) edisi revisi,,
manajemen keuangan ( edisi revisi ) dilengkapi soal- jawab,,
antropologi budaya,ilmu budaya dasar,
micro teaching: disertai dengan pedoman pengalaman lapangan,sejarah peradaban islam,
pemimpin dan kepemimpinan,,
pedoman penyelenggaraan perpustakaan sekolah,,
pemebelajaran nilai-karakter: konstruktivisme dan vct sebagai inovasi pendekatan pembelajaran afektif,,
perkembangan peserta didik,,
catatan seorang demonstran,"holocaust
saat-saat tergelap umat manusia",jejak-jejak pahlawan: perekat kesatuan bangsa indonesia
ayahku ( bukan ) pembohong,,
menyikapi rambu-rambu bahaya dalam islam: menghindari kebiasan-kebiasan buruk,,
mendung di atas istana merdeka,,
perilaku organisasi.,,
psikoloi pendidikan berbasis analisis empiris aplikatif,,
pengantar ilmu hukum,,
seni mengajar dengan hati: don`t be a teacher unless you have love to share,,
human communication; prinsip- prinsip dasar ( buku pertama ),,
antropologi budaya,ilmu budaya dasar,
etika beribadah berdasarkan alquran & sunah: wudhu dan tayamum shalat: shalat jumâat shalat berjamaah adzan dan iqamah: puasa zakat infak dan sedekah serta ibadah haji dan umrah,tanaman obat indonesia (buku 3),
bahasa jepang untuk pemula,cara mudah menerapkan english grammar : kaidah & pelatihan untuk rujukan belajar sendiri.,
managerial economics; ekonomi manajerial dalam perekonomian global buku 1 edisi kelima,,
