a pocket guide to epidemiology,pedoman teknis konstruksi dan bangunan sipil : pedoman perencanaan dan pelaksanaan konstruksi terowongan untuk bendungan,,,,,,,,,,,,,,,,,,,,,,
kalkulus: edisi kedelapan jilid 1,,,,,,,,,,,,,,,,,,,,,,,
memahami ilmu pemerintahan: suatu kajian teori konsep dan pengembangannya,politik hukum pidana: kajian kebijakan kriminalisasi dan dekriminalisasi,,,,,,,,,,,,,,,,,,,,,,
belajar & pembelajaran: pengembangan wacana dan praktik pembelajaran dalam pembangunan nasional,media / impact: pengantar media massa ( media/impact : an introduction to mass media) ( edisi 9 ),model-model pembelajaran: mengembangkan profesionalisme guru,teori komunikasi massa edisi kedelapan,teori komunikasi massa mcquail: mcquail s mass communication theory buku 2,,,,,,,,,,,,,,,,,,,
teknologi pengelasan logam,,,,,,,,,,,,,,,,,,,,,,,
fisika dasar: edisi 7 jilid 1,,,,,,,,,,,,,,,,,,,,,,,
biokimia harper edisi 27,,,,,,,,,,,,,,,,,,,,,,,
segudang khasiat ragam tanaman ajaib untuk kesehatan kecantikan dan kecerdasan,,,,,,,,,,,,,,,,,,,,,,,
pokok-pokok materi statistik 1 (statstik deskriptif) edisi kedua,,,,,,,,,,,,,,,,,,,,,,,
fisika teknik: buku acuan untuk siswa sekolah menengah kejuruan,hak kekayaan intelektual dan pengetahuan tradisional,hukum acara pidana: normatif teoritis praktik dan permasalahannya,,,,,,,,,,,,,,,,,,,,,
buku praktis bahasa indonesia 1,,,,,,,,,,,,,,,,,,,,,,,
masyarakat ekonomi asean 2015: memperkuat sinergi asean di tengah kompetisi global,,,,,,,,,,,,,,,,,,,,,,,
biologi edisi kedelapan jilid 2,biologi sel,biologi sel edisi 6,hak-hak asasi manusia dalam politik luar negeri,pendidikan kewarganegaraan,,,,,,,,,,,,,,,,,,,
dasar-dasar komunikasi pendidikan,,,,,,,,,,,,,,,,,,,,,,,
buku ajar fisiologi jantung,,,,,,,,,,,,,,,,,,,,,,,
pedoman pelaksanaan pendidikan pancasila pada perguruan tinggi edisi revisi,perencanaan pembelajaran,pokok- pokok antropologi budaya,,,,,,,,,,,,,,,,,,,,,
mikro ekonomi ( teori pengantar ) ( edisi ketiga ),,,,,,,,,,,,,,,,,,,,,,,
copywriting: seni mengasah kreativitas dan memahami bahasa iklan,menjinakkan sang kuda troya; perjuangan serikat buruh menghadang sistem kontrak/ outsourcing,pria idaman wanita,,,,,,,,,,,,,,,,,,,,,
ayahku ( bukan ) pembohong,,,,,,,,,,,,,,,,,,,,,,,
the american political system,,,,,,,,,,,,,,,,,,,,,,,
fundamentals of nursing,,,,,,,,,,,,,,,,,,,,,,,
